Unnamed: 0,aper: 1MA1/1H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,uestion,,,Answer,,,Mark,,,Mark scheme,,,Additional guidance,
16.0,0.78,"P1
P1
P1
A1","for using 0.75 or 0.25 in a relevant product,
eg 0.75 × x or 0.25 × y
for using two products to form an equation,
eg 0.75x + 0.25y = 0.36
for a correct equation in one variable,
eg 0.75(1 – p) + 0.25p = 0.36  or  0.75f + 0.25(1 – f) = 0.36
oe","Allow different letters
Could work with fractions
Could set up an equation for
pass × pass + fail × fail = 0.64
Accept 78% or any equivalent fraction,
39156
eg,
50
200",,,,,,,,,,
17.0,"40
y =
3
x","P1
P1
P1
A1","K
for setting up an equation with a constant term, eg y = kt  or t =
3
x
for a process to substitute values in one equation,
K
eg 15 = k9  or k = 5 or 8 =
or K = 64
32
(dep P2) for combining the two equations ft their values of  k and K,
64
eg y = 5
3
x
64
OR for y = 5t  and t =
3
x
oe","Condone the use of ‘’ instead of ‘=’ for the
first two P marks
Equation can be implied by correct
substitution
Formula must include 40
Accept other forms for the power of x but
must be a single term in x",,,,,,,,,,
