v	To project manage. 
v	(Internet, transitive) To send a private message to (a participant in a chat room, etc.). 
n	Initialism of post meridiem. (The second half of the day, from noon (12:00:00) to (just before) midnight (23:59:59)) 
n	Initialism of post mortem. [An investigation of a corpse to determine the cause of death.] 
n	Initialism of prime minister. [In a parliamentary democracy, the chief member of the cabinet and head of the government; often the leader of the majority party.] 
n	Initialism of private message. [(Internet) a message sent to another, individual user of a social media or chat platform through a private channel as opposed to a publicly accessible area or chatroom.] 
n	Initialism of personal message. 
n	Initialism of price match. [A policy in which a shop / store sells every item at the same price as at its competitor, or even less.] 
n	Initialism of project management. [Used other than figuratively or idiomatically: see project, management.] 
n	Initialism of project manager. [One who manages projects.] 
n	Initialism of performance management. [The process of ensuring that organisational goals are consistently being met in an effective and efficient manner.] 
n	Initialism of perfect match. 
n	Initialism of product manager. 
n	(knitting) Initialism of place marker. 
n	(electronics) Initialism of permanent magnet. [(physics) A material, or piece of such material, which retains its magnetism even when not subjected to any external magnetic fields.] 
n	(with a number) Initialism of particulate matter. [Any solid or liquid in a finely subdivided state, especially when considered as an atmospheric pollutant.] 
n	Initialism of push money. [(business) Money paid to a salesperson in a retail outlet in exchange for their promoting a particular brand.] 
n	Initialism of portfolio manager. 
n	Initialism of precious metal. [A rare metallic chemical element of high economic value, such as gold and platinum.] 
adv	Alternative form of p.m. [after noon (used after a time to indicate it is between noon and midnight, i.e., in the afternoon, evening or night as opposed to the morning)] 
